nice to see you here 🦜🦾,"This data is maintained by @sureailabs, @proximasan, @EErratica, and @KyrickYoung as part our ongoing Image Synthesis Style Studies project, started in Feb 2022. Its purpose is to document artist names and other prompt modifier keywords (see tabs) that are recognized by AI text-to-image synthesis models, such as the CLIP models used in Disco Diffusion and Stable Diffusion. We are not afilliated with the development or training of these models.

You can view outputs and more information about this project at parrotzone.art 🦜🦾",,,,,,,"Do NOT request edit permissions. We do not grant these. If you'd like to recommend a modifier not already on this sheet (to verify, search with CTRL+F), you can use this form: 🎟️ Artist Recommendations 

All styles tested for CLIP in Disco Diffusion, v4.1, but should have similarly successful results in any platform where OpenAI's CLIP models are used. Default settings used including ViTB32, ViTB16, RN50. Some studies used ViTL14 and cutn_batches = 4. Each study uses a different random seed. Images are 1280x1024 each, generated in 250 steps.",,total artists: ,,,4389
,"Summary stats:
Updated 09/25/2023",,recognized / not recognized:,,1688,,116,,,,,,
"Artist (last/only)
(or other effect)",Artist (first),Copy/Paste Name,"Recognized?
(SDXL)",Done,"Recognized?
(Stable V1)","SD V1
study","Tags 
(work-in-progress)","Year of Death 
(N/A if living)",Notes,,,,
Aalto,Alvar,Alvar Aalto,Yes,x,Yes,x,"architecture, high contrast",1976,,,,,
Aarons,Slim,Slim Aarons,Yes,x,Yes,x,"vibrant, photography, scene",2006,,,,,
Abbey,Edwin Austin,Edwin Austin Abbey,Yes,x,Yes,x,"scene, realism",1911,,,,,
Abercrombie,Gertrude,Gertrude Abercrombie,Yes,x,Yes,x,"surrealism, dark",1977,,,,,
Abramović,Marina,Marina Abramović,Yes,x,Yes,x,"scene, photography",N/A,,,,,
Abts,Tomma,Tomma Abts,Yes,x,Yes,x,"abstract, angular",N/A,,,,,
Acconci,Vito,Vito Acconci,Yes,x,Yes,x,"dark, installation, architecture, sculpture",2017,,,,,
Achenbach,Andreas,Andreas Achenbach,Yes,x,Yes,x,"landscape, seascape, romanticism",1910,,,,,
Ackroyd,Norman,Norman Ackroyd,Yes,x,Yes,x,"landscape, monochromatic, high contrast",N/A,,,,,
Adams,Ansel,Ansel Adams,Yes,x,Yes,x,"monochromatic, high contrast",1984,,,,,
Adams,Arthur,Arthur Adams,Yes,x,Yes,x,"detailed, clean",N/A,,,,,
Adams,Neal,Neal Adams,Yes,x,Yes,x,comics,2022,,,,,
Adamski,Josh,Josh Adamski,Yes,x,Yes,x,"landscape, vibrant",N/A,,,,,
Addams,Charles,Charles Addams,Yes,x,Yes,x,"monochromatic, scene",1988,,,,,
Adnan,Etel,Etel Adnan,Yes,x,Yes,x,"abstract, vibrant, landscape",2021,,,,,
Adolfsson,Mattias,Mattias Adolfsson,Yes,x,Yes,x,"detailed, whimsical, watercolor",N/A,,,,,
Aenami,Alena,Alena Aenami,Yes,x,Yes,x,"vibrant, landscape, digital",N/A,,,,,
Aertsen,Pieter,Pieter Aertsen,Yes,x,Yes,x,"detailed, scene, renaissance",1575,,,,,
af Klint,Hilma,Hilma af Klint,Yes,x,Yes,x,"abstract, low contrast",1944,,,,,
Affandi,N/A,N/A Affandi,Yes,x,Yes,x,"expressionism, messy, abstract, scene",1990,,,,,
Afremov,Leonid,Leonid Afremov,Yes,x,Yes,x,"vibrant, stained glass, impressionism",2019,,,,,
Agam,Yaacov,Yaacov Agam,Yes,x,Yes,x,"vibrant, colorful, abstract, angular",N/A,,,,,
Agar,Eileen,Eileen Agar,Yes,x,Yes,x,"vibrant, abstract, collage",1991,,,,,
Agasse,Jacques-Laurent,Jacques-Laurent Agasse,Yes,x,Yes,x,"landscape, animals",1849,,,,,
Aitchison,Craigie,Craigie Aitchison,Yes,x,Yes,x,"vibrant, primitivism, figurativism",2009,,,,,
Aitken,Doug,Doug Aitken,Yes,x,Yes,x,"installation, photography, sculpture",N/A,,,,,
Aivazovsky,Ivan,Ivan Aivazovsky,Yes,x,Yes,x,"dark, landscape, romanticism",1900,,,,,
Aja,David,David Aja,Yes,x,Yes,x,"high contrast, comics",N/A,,,,,
Akrami,Sherry,Sherry Akrami,Yes,x,Yes,x,"monochromatic, photography, surrealism, nature",N/A,,,,,
Alakbarov,Rashad,Rashad Alakbarov,Yes,x,Yes,x,"installation, light",N/A,,,,,
Albers,Anni,Anni Albers,Yes,x,Yes,x,"textile, bauhaus",1994,,,,,
Albers,Josef,Josef Albers,Yes,x,Yes,x,"bauhaus, high contrast",1976,,,,,
Albi,Alessio,Alessio Albi,Yes,x,Yes,x,"photography, portrait",N/A,,,,,
Albright,Ivan,Ivan Albright,Yes,x,Yes,x,"dark, messy, impressionism",1983,,,,,
Albuquerque,Rafael,Rafael Albuquerque,Yes,x,Yes,x,"comics, high contrast",N/A,,,,,
Aldridge,Miles,Miles Aldridge,Yes,x,Yes,x,"photography, portrait, surrealism, pop art, pink",N/A,,,,,
Alemany,Alex,Alex Alemany,Yes,x,Yes,x,"symbolism, magic realism, surrealism",2021,,,,,
Alexander,John White,John White Alexander,Yes,x,Yes,x,"portrait, art nouveau, symbolism",1915,,,,,
Allingham,Helen,Helen Allingham,Yes,x,Yes,x,"watercolor, landscape, scene",1926,,,,,
Allori,Alessandro,Alessandro Allori,Yes,x,Yes,x,"portrait, renaissance",1607,,,,,
Allred,Mike,Mike Allred,Yes,x,Yes,x,"comics, vibrant",N/A,,,,,
Alm,Nick,Nick Alm,Yes,x,Yes,x,"figurativism, realism, portrait",N/A,,,,,
Alma-Tadema,Lawrence,Lawrence Alma-Tadema,Yes,x,Yes,x,"scene, romanticism",1912,,,,,
Alvarado,Lilia,Lilia Alvarado,Yes,x,Yes,x,"photography, scene, portrait",N/A,,,,,
Alzamora,Emil,Emil Alzamora,Yes,x,No,x,sculpture,N/A,,,,,
Amano,Yoshitaka,Yoshitaka Amano,Yes,x,Yes,x,"messy, dark,",N/A,,,,,
Amer,Ghada,Ghada Amer,Yes,x,Yes,x,"abstract, portrait",N/A,,,,,
Amiet,Cuno,Cuno Amiet,Yes,x,Yes,x,"impressionism, portrait, landscape",N/A,,,,,
Amor,Rick,Rick Amor,Yes,x,No,x,"landscape, streetscape",N/A,,,,,
Amorsolo,Fernando,Fernando Amorsolo,Yes,x,Yes,x,"realism, scene",1972,,,,,
Anacleto,Jay,Jay Anacleto,Yes,x,Yes,x,"comics, detailed",N/A,,,,,
Anatsui,El,El Anatsui,Yes,x,Yes,x,"abstract, sculpture, texture, melanin",N/A,,,,,
Ancher,Anna,Anna Ancher,Yes,x,Yes,x,"impressionism, scene",1935,,,,,
Ancher,Michael,Michael Ancher,Yes,x,Yes,x,"impressionism, realism, scene",1927,,,,,
Andersen,Hans Christian,Hans Christian Andersen,Yes,x,Yes,x,"romanticism, art nouveau",1875,,,,,
Andersen,Sarah,Sarah Andersen,Yes,x,Yes,x,"cartoon, comics, high contrast",N/A,,,,,
Anderson,Richard,Richard Anderson,Yes,sureai,Yes,x,"digital, fantasy, dark, messy",N/A,,,,,
Anderson,Sophie,Sophie Anderson,Yes,sureai,Yes,x,"character, portrait",N/A,,,,,
Anderson,Wes,Wes Anderson,Yes,sureai,Yes,x,"vibrant, whimsical, photography, pink",N/A,,,,,
Ando,Tadao,Tadao Ando,Yes,sureai,Yes,x,"angular, architecture",N/A,,,,,
Andreev,Alex,Alex Andreev,Yes,sureai,Yes,x,"landscape, high contrast, vibrant",N/A,,,,,
Andrews,Esao,Esao Andrews,Yes,sureai,Yes,x,"surrealism, dark,",N/A,,,,,
Angelico,Fra,Fra Angelico,Yes,sureai,Yes,x,"renaissance, scene",1455,,,,,
Angrand,Charles,Charles Angrand,Yes,sureai,Yes,x,"impressionism, clean",1926,,,,,
Anguissola,Sofonisba,Sofonisba Anguissola,Yes,sureai,Yes,x,"renaissance, portrait",1625,,,,,
Aniela,Miss,Miss Aniela,Yes,sureai,Yes,x,"whimsical, photography, scene",N/A,,,,,
Anker,Albrecht,Albrecht Anker,Yes,sureai,Yes,x,"realism, scene, portrait",1910,,,,,
Anning,Mary,Mary Anning,Yes,sureai,Yes,x,"scene, landscape",1847,,,,,
Anquetin,Louis,Louis Anquetin,Yes,sureai,Yes,x,"impressionism, portrait, scene",1932,,,,,
